train/n_updates,train/value_loss,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/policy_loss,train/entropy_loss,train/explained_variance,rollout/ep_rew_mean,time/fps,time/iterations
99,87.0093765258789,25600,0.003,25.25,8,-12.206856727600098,-1.9720922708511353,0.32830071449279785,-98.28918070999998,3176,100
199,41.36853790283203,51200,0.003,25.52,17,-8.063297271728516,-1.545248031616211,0.49776947498321533,-100.33295290000002,3009,200
299,11.206636428833008,76800,0.003,22.87,26,3.1785335540771484,-1.247143030166626,0.8350266963243484,-93.50479563,2946,300
490,5.171138763427734,25600,0.003,20.27,8,-2.2305405139923096,-0.5920272469520569,0.9524107500910759,-88.51401648999999,3043,100
590,4.430551528930664,51200,0.003,21.39,16,0.6428191661834717,-0.2505206763744354,0.9526114538311958,-88.01613993,3079,200
690,2.7765989303588867,76800,0.003,21.25,24,0.5680195689201355,-0.18421922624111176,0.9753405023366213,-87.58383883,3109,300
881,2.514721393585205,25600,0.003,21.54,8,-0.11416652053594589,-0.059267204254865646,0.9847467988729477,-87.6125,2934,100
981,3.5442910194396973,51200,0.003,21.78,17,0.24210642278194427,-0.06818410754203796,0.9712050929665565,-87.53383883000001,2959,200
1081,2.9763271808624268,76800,0.003,21.53,25,0.2235378921031952,-0.05877120420336723,0.9702613893896341,-87.9625,3025,300
1272,4.151788711547852,25600,0.003,21.73,8,0.10691636800765991,-0.03471583127975464,0.9608109444379807,-88.0,2976,100
1372,3.192492723464966,51200,0.003,21.87,17,-0.16963937878608704,-0.033571790903806686,0.9725309014320374,-87.975,2849,200
1472,2.0552494525909424,76800,0.003,21.75,26,0.03322944790124893,-0.023077135905623436,0.9879952725023031,-88.075,2894,300
1663,4.133190155029297,25600,0.003,14.97,7,-0.001171104609966278,-0.0023379167541861534,0.969646142795682,-82.5375,3263,100
1763,1.537476897239685,51200,0.003,14.87,16,-0.0005015453789383173,-0.002157181967049837,0.9901905786246061,-82.6625,3127,200
1863,2.407708168029785,76800,0.003,14.94,25,1.5475061445613392e-05,-0.00185488723218441,0.9826609641313553,-82.575,2990,300
2054,1.3899469375610352,25600,0.003,14.82,9,0.3054402768611908,-0.08491642028093338,0.9870375888422132,-82.725,2831,100
2154,2.1684744358062744,51200,0.003,14.88,18,0.8608090281486511,-0.3349434435367584,0.9838477987796068,-82.65,2832,200
2254,4.5773420333862305,76800,0.003,15.03,26,2.116111993789673,-0.3549762964248657,0.9823419395834208,-82.4625,2873,300
2445,3.782291889190674,25600,0.003,14.89,9,0.8002776503562927,-0.133778914809227,0.9748791959136724,-82.6375,2739,100
2545,2.642777681350708,51200,0.003,14.94,19,0.4459882974624634,-0.11920275539159775,0.9819166846573353,-82.575,2668,200
2645,2.6967616081237793,76800,0.003,14.97,29,0.7689646482467651,-0.24378512799739838,0.9824538007378578,-82.5375,2609,300
2836,1.4939579963684082,25600,0.003,14.94,9,-1.087061882019043,-0.4830913543701172,0.9898668667301536,-82.575,2675,100
2936,1.7600345611572266,51200,0.003,14.95,19,-1.1676568984985352,-0.3549385964870453,0.992167666554451,-82.5625,2680,200
3036,1.6444653272628784,76800,0.003,15.0,28,-0.5396623015403748,-0.22795820236206055,0.9874652521684766,-82.5,2733,300
3227,1.432873249053955,25600,0.003,14.68,10,0.22681915760040283,-0.12760309875011444,0.9888335941359401,-82.9,2535,100
3327,1.1233786344528198,51200,0.003,15.02,20,0.10474611818790436,-0.051028501242399216,0.9888976775109768,-82.475,2500,200
3427,2.0954110622406006,76800,0.003,15.07,30,0.28364723920822144,-0.08087151497602463,0.9852994047105312,-82.4125,2541,300
3618,2.585904598236084,25600,0.003,14.91,9,-0.0515410490334034,-0.04001107066869736,0.9863292714580894,-82.6125,2719,100
3718,1.1511174440383911,51200,0.003,14.83,19,-0.2952190041542053,-0.12330202013254166,0.9930354207754135,-82.7125,2609,200
3818,1.8399319648742676,76800,0.003,14.92,28,-0.1301794946193695,-0.047250326722860336,0.984191469848156,-82.6,2667,300
4009,1.8450798988342285,25600,0.003,15.02,8,0.05197877436876297,-0.014586109668016434,0.9833537563681602,-82.475,2866,100
4109,2.6707658767700195,51200,0.003,14.84,17,0.034000247716903687,-0.006128968670964241,0.984307661652565,-82.7,2858,200
4209,1.5635449886322021,76800,0.003,14.94,27,0.129849374294281,-0.04394545033574104,0.9900668160989881,-82.575,2826,300
4400,1.0169363021850586,25600,0.003,14.92,8,-0.30707934498786926,-0.14336861670017242,0.9933194569312036,-82.6,2928,100
4500,0.9274427890777588,51200,0.003,14.82,18,-0.04943901300430298,-0.04800468683242798,0.9904368938878179,-82.725,2788,200
4600,0.9639641046524048,76800,0.003,14.87,28,-0.5182258486747742,-0.2155143767595291,0.9927029176615179,-82.6625,2703,300
4791,1.3858840465545654,25600,0.003,15.07,12,0.3651162087917328,-0.27135804295539856,0.9875604016706347,-82.4125,2023,100
4891,1.8886232376098633,51200,0.003,14.86,25,0.10957387834787369,-0.02485687844455242,0.9853423433378339,-82.675,2046,200
4991,2.5705373287200928,76800,0.003,14.91,37,0.1204962283372879,-0.03575831279158592,0.9777329284697771,-82.6125,2056,300
5182,1.494200587272644,25600,0.003,14.86,12,-0.04385894909501076,-0.0022321997676044703,0.9914061073213816,-82.675,2091,100
5282,3.1822257041931152,51200,0.003,14.76,25,-0.0008112834766507149,-0.000986593309789896,0.9771086182445288,-82.8,2040,200
5382,1.6985681056976318,76800,0.003,14.85,37,-0.01526492927223444,-0.022997712716460228,0.9893134068697691,-82.6875,2035,300
5573,2.8374319076538086,25600,0.003,14.89,12,0.00039205659413710237,-0.0006570646655745804,0.9841880388557911,-82.6375,1969,100
5673,2.973884105682373,51200,0.003,14.83,26,8.976933895610273e-05,-0.00032377138268202543,0.9808919094502926,-82.7125,1967,200
5773,1.8892583847045898,76800,0.003,14.8,39,0.05579695850610733,-0.0036263971123844385,0.9851968213915825,-82.75,1940,300
5964,1.4108576774597168,25600,0.003,15.0,13,-0.01757245883345604,-0.019912512972950935,0.9890648052096367,-82.5,1934,100
6064,1.438777208328247,51200,0.003,15.21,26,-0.011723517440259457,-0.017757685855031013,0.9891530340537429,-82.28143403,1947,200
6164,2.9691507816314697,76800,0.003,14.93,38,-0.024298857897520065,-0.002498695394024253,0.9854259053245187,-82.5875,1985,300
6355,2.613190174102783,25600,0.003,14.94,13,0.011238738894462585,-0.010908330790698528,0.9836103357374668,-82.58232233999999,1897,100
6455,1.738682746887207,51200,0.003,14.8,26,0.003032598178833723,-0.00564410537481308,0.9891186114400625,-82.75,1918,200
6555,2.487401008605957,76800,0.003,14.89,39,0.006454785354435444,-0.011648324318230152,0.9840978886932135,-82.65946701000001,1938,300
6746,3.8822665214538574,25600,0.003,18.51,10,-0.03626642003655434,-0.003744229907169938,0.9862686526030302,-84.51953903000002,2530,100
6846,4.326203346252441,51200,0.003,18.43,20,-0.001127729075960815,-0.002783614443615079,0.9628854505717754,-84.59391087,2538,200
6946,2.496185302734375,76800,0.003,18.5,30,-0.0002650882233865559,-0.0010760125005617738,0.9778202995657921,-84.53203899999998,2540,300
7137,1.9973764419555664,25600,0.003,18.28,12,3.005411235790234e-05,-0.0003055384731851518,0.977784126996994,-84.72649335,1993,100
7237,1.5397037267684937,51200,0.003,18.6,23,3.975705840275623e-05,-0.00020705925999209285,0.9881620006635785,-84.44365068,2157,200
7337,1.265824556350708,76800,0.003,18.63,33,-6.369785842252895e-05,-0.0002609521325211972,0.9877273309975863,-84.41713414,2277,300
7528,4.9600677490234375,25600,0.003,18.51,8,-0.11824128776788712,-0.02257961593568325,0.9800493083894253,-84.31754676999999,2883,100
7628,10.693132400512695,51200,0.003,16.55,17,1.6625571250915527,-0.27841123938560486,0.9221041426062584,-82.89832348,2954,200
7728,2.496229410171509,76800,0.003,18.25,30,0.04225512221455574,-0.1500069797039032,0.9721744284033775,-83.46427978,2531,300
7919,3.453160047531128,25600,0.003,18.38,13,0.23094862699508667,-0.07894972711801529,0.967477586120367,-84.15117006999999,1910,100
8019,6.487942695617676,51200,0.003,17.82,27,0.1667535901069641,-0.16536009311676025,0.9334394708275795,-83.48189437,1880,200
8119,1.8647481203079224,76800,0.003,16.16,40,0.013894423842430115,-0.12532760202884674,0.980012958869338,-82.80003715,1884,300
8310,4.747992038726807,25600,0.003,17.85,13,-0.3818471133708954,-0.2599858343601227,0.9511575847864151,-82.79270699,1944,100
8410,2.033596992492676,51200,0.003,18.53,26,-0.3608989119529724,-0.15177513659000397,0.9818732254207134,-83.30099918,1929,200
8510,6.9449310302734375,76800,0.003,18.55,39,-0.1683642566204071,-0.07689957320690155,0.9456430226564407,-83.42610702000002,1954,300
8701,3.181225061416626,25600,0.003,17.85,13,-0.08854476362466812,-0.11437896639108658,0.9626198261976242,-83.43341082,1927,100
8801,8.339963912963867,51200,0.003,18.31,26,-0.5966936945915222,-0.08234106749296188,0.948382057249546,-83.10674197,1899,200
8901,3.053121566772461,76800,0.003,18.16,40,0.21069666743278503,-0.05614222213625908,0.982705594971776,-83.73420987000002,1912,300
9092,2.375990867614746,25600,0.003,18.42,13,-0.022262366488575935,-0.044360820204019547,0.9706998374313116,-83.72773121,1910,100
