time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates
3597,-99.62382422999997,27.78,1,16384,4,,,,,,,,,,
2466,-98.75397978000001,27.01,2,32768,13,0.0636474609375,0.0003,0.2,69.2020492553711,-0.005597252542975184,-2.372883838508278,-0.0034835338592529297,0.0066406624,649.8207701638341,10
2265,-99.85632126,27.12,3,49152,21,0.0822509765625,0.0003,0.2,7.156288146972656,-0.006838219443397975,-2.3692930387333035,0.7762541323900223,0.007857703,34.99760807137936,20
2174,-99.76104011000002,27.83,4,65536,30,0.084417724609375,0.0003,0.2,3.612015962600708,-0.007188255253095121,-2.3654591257683935,0.6570003628730774,0.008428993,10.027057697158307,30
2106,-98.22411103,28.18,5,81920,38,0.08704833984375,0.0003,0.2,2.5266010761260986,-0.00877990123881318,-2.3632451367564498,0.8332266807556152,0.0075240145,6.4995209878310565,40
2080,-97.73994359999999,28.27,6,98304,47,0.11209716796875,0.0003,0.2,4.5052876472473145,-0.012173019784040662,-2.352960863430053,0.8880372568964958,0.009363239,6.152396715339274,50
2060,-97.5820851,28.27,7,114688,55,0.106854248046875,0.0003,0.2,3.3283932209014893,-0.010287775101551233,-2.34010427063331,0.8801859244704247,0.008526046,6.858030092995614,60
4640,-97.38776102,28.23,1,16384,3,0.1048095703125,0.0003,0.2,2.283474922180176,-0.009630018749430747,-2.328873676434159,0.905947245657444,0.008486798,5.473758054152131,70
2709,-96.25531943,27.28,2,32768,12,0.104248046875,0.0003,0.2,2.2927517890930176,-0.010047105699231906,-2.315027526114136,0.9066883102059364,0.007858815,5.608097502030432,80
2381,-96.84250102,27.67,3,49152,20,0.101708984375,0.0003,0.2,1.5805761814117432,-0.01054520500392755,-2.3026548012159767,0.9134310856461525,0.00871679,5.188191102910787,90
2261,-95.31270165999999,27.36,4,65536,28,0.098248291015625,0.0003,0.2,2.788010358810425,-0.009638903201175709,-2.285764084383845,0.8981695920228958,0.008063232,6.31502562109381,100
2193,-95.83135953999998,27.9,5,81920,37,0.101251220703125,0.0003,0.2,3.5367469787597656,-0.009529390034549579,-2.2626959778368474,0.9060254395008087,0.00867967,6.01624042307958,110
2115,-95.32521713,28.48,6,98304,46,0.09505615234375,0.0003,0.2,2.2247467041015625,-0.00912654990388546,-2.2457225202582776,0.9006894379854202,0.008279131,6.544102957565338,120
2086,-95.11749529999999,28.7,7,114688,54,0.104388427734375,0.0003,0.2,2.097543954849243,-0.009926308767080626,-2.2354776482097805,0.9009596854448318,0.00869905,6.59137914692983,130
4373,-94.53805928,28.26,1,16384,3,0.124749755859375,0.0003,0.2,2.236043691635132,-0.01161470422621278,-2.2134684804826974,0.9026643261313438,0.009214789,6.634468620736152,140
2470,-92.92293612000002,29.07,2,32768,13,0.11494140625,0.0003,0.2,2.9854891300201416,-0.0109254376527133,-2.1949091211892666,0.8906531184911728,0.009253664,7.778544106706977,150
2242,-93.89889511999998,29.11,3,49152,21,0.128802490234375,0.0003,0.2,3.110954999923706,-0.01170622704366906,-2.1601685511879625,0.8926900327205658,0.009425575,7.98760835705325,160
2129,-91.45047939,29.9,4,65536,30,0.11060791015625,0.0003,0.2,4.183281421661377,-0.010786789898338612,-2.1334352667443452,0.877209410071373,0.009468819,9.71263299714774,170
2102,-90.10320933999999,30.15,5,81920,38,0.1169921875,0.0003,0.2,4.016048908233643,-0.009728874119900865,-2.1045271086506547,0.8775967434048653,0.009353671,10.19053131006658,180
2087,-90.95892905999999,29.74,6,98304,47,0.12723388671875,0.0003,0.2,5.231536388397217,-0.011427601957984734,-2.07227612384595,0.8887139707803726,0.009981771,9.306693326681852,190
2073,-89.52070655000001,30.36,7,114688,55,0.13455810546875,0.0003,0.2,4.6882710456848145,-0.012458431916184055,-2.0298802498728037,0.8912265971302986,0.010669807,9.509821922890842,200
4638,-87.29777156000002,30.14,1,16384,3,0.131793212890625,0.0003,0.2,4.097031593322754,-0.012603662127094139,-2.006917422451079,0.9028289169073105,0.009740071,9.17280924031511,210
2671,-87.55167081000002,31.53,2,32768,12,0.12158203125,0.0003,0.2,4.365787982940674,-0.011621071758327162,-1.9631037303246557,0.9019086807966232,0.009789337,9.999307857826352,220
2366,-85.45287007999997,31.8,3,49152,20,0.115228271484375,0.0003,0.2,3.6247520446777344,-0.009737972168841225,-1.9361884367186577,0.9025104194879532,0.009326954,10.571672746166588,230
2260,-84.11328055999998,32.82,4,65536,28,0.11976318359375,0.0003,0.2,5.658054828643799,-0.00992002649945789,-1.8904086977709085,0.9009491056203842,0.010372229,11.707682674936951,240
2197,-83.68073435999999,33.57,5,81920,37,0.111260986328125,0.0003,0.2,4.041053295135498,-0.009632348650120548,-1.8627394559793173,0.9124993905425072,0.008249088,10.449124009348452,250
