time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,train/loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/policy_gradient_loss
8192,-98.62219149999997,1,27.06,1843,4,,,,,,,,,,
16384,-98.57165122999999,2,27.52,1177,13,570.0470581054688,0.1245361328125,0.0003,0.0119212475,0.2,-7.184612030908466,0.0011702775955200195,1605.3744860172271,10,-0.01524449307253235
24576,-98.63535805,3,26.74,1068,22,178.6162872314453,0.12490234375,0.0003,0.01324488,0.2,-7.174052182212472,-0.00039839744567871094,721.2059579133987,20,-0.01671137097691826
32768,-98.78861287999999,4,27.11,1034,31,78.45825958251953,0.1896240234375,0.0003,0.018348143,0.2,-7.154540570080281,-0.0012987852096557617,230.21462100744247,30,-0.014757356416521362
40960,-99.81514925999998,5,27.79,1016,40,12.14502239227295,0.111865234375,0.0003,0.011016983,0.2,-7.1381995741277935,-4.684925079345703e-05,67.54377506449819,40,-0.015228243857563939
49152,-97.81010617000001,6,27.54,1010,48,4.366867542266846,0.13944091796875,0.0003,0.012829967,0.2,-7.1191146146506075,0.8551623076200485,10.577914756722748,50,-0.020951729878834157
57344,-97.79458714,7,27.57,1006,56,2.9001076221466064,0.175048828125,0.0003,0.014055943,0.2,-7.097698079422116,0.8694939166307449,7.8538554886356,60,-0.0222055131529487
65536,-97.84924097999999,8,27.83,1003,65,3.237093210220337,0.18868408203125,0.0003,0.015048626,0.2,-7.071463775262236,0.8967668935656548,5.65429666005075,70,-0.02136962024305831
73728,-98.19367111,9,27.94,1000,73,1.4271613359451294,0.2037109375,0.0003,0.01505683,0.2,-7.035364135354757,0.9012839049100876,5.683042504452169,80,-0.023208152938786954
81920,-97.75393479999998,10,27.52,996,82,2.7802956104278564,0.18126220703125,0.0003,0.014378896,0.2,-6.990280760452151,0.8785240724682808,6.990851667709649,90,-0.02094237541423354
90112,-97.2796457,11,28.33,994,90,4.755027770996094,0.18433837890625,0.0003,0.014076666,0.2,-6.95020016618073,0.8773547038435936,7.169238070771098,100,-0.020299818085368314
98304,-96.25487650000001,12,27.99,987,99,3.12496280670166,0.19931640625,0.0003,0.015070239,0.2,-6.91032768599689,0.893952988088131,5.7092685731127855,110,-0.020873726704849105
106496,-96.06412569000003,13,28.11,984,108,2.9250402450561523,0.1953369140625,0.0003,0.015367758,0.2,-6.8594585955142975,0.8942466005682945,6.363301153853536,120,-0.020963683236186626
8192,-94.86528095,1,29.25,2186,3,2.8783774375915527,0.1848876953125,0.0003,0.01385783,0.2,-6.82148525044322,0.8958016857504845,6.713472530990839,130,-0.018361293426823976
16384,-93.84520282000001,2,29.21,1223,13,4.280251502990723,0.21534423828125,0.0003,0.015757544,0.2,-6.766406667977572,0.8780720233917236,8.162777486816049,140,-0.021640810265307665
24576,-93.7148141,3,29.26,988,24,2.4797544479370117,0.2188720703125,0.0003,0.01690453,0.2,-6.691655375435948,0.9046199023723602,6.977952074445784,150,-0.022665054805474937
32768,-92.31115558999998,4,29.8,928,35,3.130593776702881,0.20694580078125,0.0003,0.015732832,0.2,-6.600123530998826,0.8772057220339775,9.592142473720013,160,-0.023076935775497985
