time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/approx_kl,train/entropy_loss,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/value_loss
3812,4,27.14,16384,-99.86459108,1,,,,,,,,,,
2492,13,27.54,32768,-99.40303674,2,0.002768099308013916,0.0070666,-2.372438651230186,0.2,0.0003,51.189453125,-0.004999465418404725,10,0.062396240234375,646.738847965002
2036,24,27.22,49152,-99.11030699999999,3,0.7724509090185165,0.007683697,-2.369892181828618,0.2,0.0003,10.669638633728027,-0.007961725171571742,20,0.08778076171875,38.3584165899083
1842,35,26.74,65536,-98.89557416999996,4,0.6645872294902802,0.007801109,-2.3684919092804195,0.2,0.0003,5.544863224029541,-0.006792385450262372,30,0.07430419921875,10.652867208234966
1738,47,26.97,81920,-98.72777587,5,0.8303349763154984,0.0076145693,-2.3588180168531836,0.2,0.0003,2.5913989543914795,-0.007220604336180258,40,0.0710205078125,6.372524115908891
1679,58,27.63,98304,-98.67777007999997,6,0.8991320431232452,0.008268725,-2.349912152532488,0.2,0.0003,1.6365803480148315,-0.00930194376869622,50,0.09110107421875,5.274213206768036
1623,70,27.24,114688,-97.45696493000001,7,0.8948941081762314,0.007623396,-2.339662165939808,0.2,0.0003,2.6727020740509033,-0.008565162434024387,60,0.08604736328125,5.844736232794821
3776,4,27.02,16384,-96.21230435000001,1,0.900723285973072,0.0077791875,-2.3262631789781154,0.2,0.0003,4.026401519775391,-0.008208595498672366,70,0.087420654296875,5.580629113968461
2044,16,27.77,32768,-97.57315383,2,0.905359074473381,0.008214721,-2.3134711532853545,0.2,0.0003,3.1569478511810303,-0.008718891793614602,80,0.098004150390625,5.497617585584521
1827,26,27.0,49152,-96.30103043,3,0.9119203016161919,0.0086253695,-2.2979583606123923,0.2,0.0003,3.0595133304595947,-0.009192120777333912,90,0.10106201171875,5.263139278907329
1500,43,27.93,65536,-96.08636833999999,4,0.9037454724311829,0.0074693067,-2.2831465859897433,0.2,0.0003,3.1563241481781006,-0.008763659752798959,100,0.096942138671875,5.815732563100755
1479,55,28.18,81920,-97.21030517999999,5,0.8972428739070892,0.008489983,-2.266241034027189,0.2,0.0003,2.1152422428131104,-0.008523680151756707,110,0.090838623046875,6.062283493299037
1453,67,27.83,98304,-95.58126963,6,0.9010530263185501,0.0076462617,-2.2564396362751724,0.2,0.0003,2.831411361694336,-0.0075886158821049324,120,0.085113525390625,6.13354013748467
1433,79,28.42,114688,-95.88556213,7,0.9072966650128365,0.008607796,-2.242850254755467,0.2,0.0003,2.2685885429382324,-0.00872450804536129,130,0.096319580078125,5.733395669888705
