time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance
16384,27.58,-98.30976845999997,1,190,85,,,,,,,,,,
32768,26.32,-98.24442265000002,2,80,407,0.3168587784839474,12.451768,0.2,0.94261474609375,130.71495056152344,-13.126516748778522,0.0003,10,489.747805005312,-0.00015532970428466797
49152,24.16,-96.69550120999999,3,74,661,0.11277903528589377,0.19265199,0.2,0.69085693359375,26.991079330444336,-14.726870350167156,0.0003,20,54.10713126659393,0.7655685096979141
65536,25.43,-98.44083131,4,72,902,0.048232441933760126,0.059199963,0.2,0.465643310546875,8.146781921386719,-14.216223975270987,0.0003,30,22.348019775375725,0.6769337356090546
81920,25.19,-95.92453675,5,74,1096,0.025869106127447593,0.043187454,0.2,0.3645751953125,13.993895530700684,-15.017972087860107,0.0003,40,18.20541049055755,0.7001770436763763
98304,25.44,-97.47627629,6,75,1303,0.017498355587713378,0.03592824,0.2,0.299029541015625,10.115994453430176,-15.594486424699426,0.0003,50,16.659152408130467,0.7389321029186249
114688,25.93,-96.55480431,7,75,1511,0.018916199803425116,0.036272302,0.2,0.309423828125,7.887813568115234,-16.36847165673971,0.0003,60,19.218533200398088,0.6975694894790649
16384,24.45,-95.35650826000001,1,217,75,0.016415405564202956,0.025364101,0.2,0.28046875,17.483007431030273,-16.139101711288095,0.0003,70,18.344687398709357,0.6990073025226593
32768,24.99,-97.68101841,2,114,286,0.015544454832888733,0.022455696,0.2,0.29287109375,10.327676773071289,-15.726824840903282,0.0003,80,18.475329327210783,0.7104735374450684
49152,25.47,-96.87264710000001,3,99,493,0.01091838465517867,0.018820433,0.2,0.251544189453125,8.630827903747559,-16.244398460909725,0.0003,90,21.083419486135245,0.6956929266452789
65536,25.75,-95.98931074000001,4,95,687,0.010969277884851181,0.022412084,0.2,0.25126953125,7.349363327026367,-15.777466316893697,0.0003,100,18.666830089315773,0.7117565870285034
81920,24.38,-96.81368334999999,5,92,884,0.011311523072163255,0.017049637,0.2,0.24339599609375,16.377593994140625,-16.02021518535912,0.0003,110,20.284945206716657,0.6969771385192871
98304,25.43,-96.61911452999999,6,90,1081,0.011052532537360094,0.018963456,0.2,0.249139404296875,13.512428283691406,-15.725347361713649,0.0003,120,19.235015336796643,0.6885509192943573
114688,26.23,-96.41114654,7,90,1273,0.009533862859552756,0.01980104,0.2,0.23319091796875,12.588722229003906,-15.807319769635797,0.0003,130,19.381814043968916,0.6931414902210236
16384,24.4,-95.36931729,1,219,74,0.008618396147812745,0.018140532,0.2,0.23966064453125,9.302685737609863,-16.06557705439627,0.0003,140,21.279708989337088,0.6715152561664581
32768,22.82,-96.61954128999997,2,110,297,0.009197826447507395,0.019559247,0.2,0.224053955078125,6.876307487487793,-15.676776361837984,0.0003,150,18.833846700564028,0.7062638103961945
49152,26.28,-95.65612414999998,3,101,482,0.010174672198354528,0.017007418,0.2,0.228741455078125,13.433799743652344,-15.147327456995844,0.0003,160,21.20418559089303,0.6680479943752289
65536,23.19,-97.44125687000002,4,94,692,0.00833673663009904,0.019663174,0.2,0.228363037109375,6.804366588592529,-15.394888274371624,0.0003,170,21.216433423757554,0.6834461390972137
81920,23.83,-96.85489919000001,5,90,910,0.009578965952550788,0.023311827,0.2,0.24378662109375,7.529634952545166,-15.888283424079418,0.0003,180,18.497974359616638,0.7070311903953552
98304,24.14,-96.50410563,6,87,1129,0.010698952558050224,0.020481301,0.2,0.23865966796875,8.218066215515137,-16.05280065536499,0.0003,190,19.711386109888554,0.6954441964626312
