time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range
331,49,28.29,-97.88501083999999,1,16384,,,,,,,,,,
94,346,28.33,-97.78937978000002,2,32768,-0.031861090602978946,0.041824233,0.0014559626579284668,247.37234497070312,10,1098.9468175530433,0.2932861328125,0.0003,-22.158977882564066,0.2
83,588,28.55,-98.98972095999997,3,49152,-0.030226724069325427,0.013603301,0.5538354218006134,37.46677017211914,20,206.59534340947866,0.10672607421875,0.0003,-22.13725079521537,0.2
78,835,27.93,-98.53526244999998,4,65536,-0.04794671884737909,0.026092641,0.6916535496711731,14.360404968261719,30,36.151351664215326,0.288067626953125,0.0003,-22.114139640331267,0.2
79,1031,28.24,-98.86541065000002,5,81920,-0.0512466463022065,0.032487966,0.6812093257904053,7.711580276489258,40,16.25246622823179,0.359490966796875,0.0003,-22.087208899110557,0.2
80,1220,26.8,-96.74007081000002,6,98304,-0.05163468928976726,0.034743853,0.6818368434906006,6.684662818908691,50,15.337060891464352,0.368853759765625,0.0003,-22.055621123313905,0.2
81,1414,26.77,-96.73686868,7,114688,-0.051368846648438195,0.03498255,0.7008247673511505,6.718861103057861,60,13.741693828627467,0.3654052734375,0.0003,-22.024292108416557,0.2
227,71,28.49,-97.44423509999999,1,16384,-0.050714955015155286,0.036792193,0.7007026970386505,3.847139596939087,70,12.24066369831562,0.378753662109375,0.0003,-21.983863753080367,0.2
127,256,27.39,-99.01102495,2,32768,-0.050487950073693354,0.036750965,0.6436528265476227,3.6702256202697754,80,15.664762831665575,0.378265380859375,0.0003,-21.946066130697726,0.2
107,457,27.48,-98.64443032000001,3,49152,-0.052227267561465854,0.039778378,0.6711595058441162,5.698584079742432,90,14.233427868969738,0.4033203125,0.0003,-21.910250979661942,0.2
98,664,27.35,-97.16126829000001,4,65536,-0.050806824945357223,0.039536826,0.6948719918727875,4.302437782287598,100,12.809824923984706,0.40191650390625,0.0003,-21.877204095572232,0.2
94,866,27.73,-97.08608662,5,81920,-0.053680617066493144,0.0418427,0.6874563992023468,5.590092658996582,110,12.686235334724188,0.41019287109375,0.0003,-21.843703557550906,0.2
93,1048,27.9,-97.07238776,6,98304,-0.050545107593097785,0.042847663,0.6838405430316925,3.747980833053589,120,13.419400704093277,0.41239013671875,0.0003,-21.807013380527497,0.2
